,user,Date Created,Tweet
45,ChibuikeAmaechi,2020-07-25 15:04:48+00:00,"Abuja-Kaduna train service will resume operations on Wednesday.

We just conducted inspection of the new coaches on the Abuja-Kaduna rail line. Social distancing is set as the new normal with end to end sitting arrangement. https://t.co/TtTrx0vCdO"
46,ChibuikeAmaechi,2020-07-18 15:47:13+00:00,"Today, we continued test-run of our new coaches on the completed Itakpe-Warri standard gauge rail line.

We've named the largest station on this route - the Agbor railway facility and station after former President Goodluck Jonathan. https://t.co/RZ8HtnigLi"
47,ChibuikeAmaechi,2020-07-17 19:26:04+00:00,https://t.co/zI7YkPA609
48,ChibuikeAmaechi,2020-07-17 19:24:18+00:00,Today we started test-run of the newly delivered coaches on the completed Itakpe-Warri standard gauge rail line. https://t.co/1vLR7AChgP
49,ChibuikeAmaechi,2020-07-13 10:58:10+00:00,"Our very own literary icon, intellectual social critic, inspiring activist, globally renowned, Africa's finest, respected Nobel laureate, Prof. Wole Soyinka is 86 today!

My dear Prof, you are a rare gem, a blessing to our world. Continue to live well &amp; healthy. 

Happy Birthday! https://t.co/lNMRDLPwuH"
50,ChibuikeAmaechi,2020-06-21 22:29:50+00:00,"@hadizel I can't believe you're 60. Happy Birthday madam! 
We'll see about that discount in due time."
51,ChibuikeAmaechi,2020-06-20 20:08:27+00:00,"We're not in a hurry to start train operations because of the danger of covid19 spread. When we start, all health and safety protocols must apply. You will not enter a train if you don't adhere to our rules. The train will not move if passengers do not comply."
52,ChibuikeAmaechi,2020-06-12 20:58:30+00:00,"UPDATE: The President has released for this year - $318m and our partners  - $1.6b for the Lagos to Ibadan rail. We hope that by October they would approve $5.3b to the FGN to commence and complete construction of the Ibadan to Kano segment of the rail line. 
Happy Democracy Day!"
53,ChibuikeAmaechi,2020-05-27 22:23:18+00:00,"A special thank you to everyone that celebrated me today. I'm humbled by your love, words of admiration and prayers. 🙏🙏🙏 https://t.co/w60I23XpjW"
54,ChibuikeAmaechi,2020-05-23 18:19:57+00:00,"I pray for his soul to find repose and that his wife, Faith and his entire family be comforted even as they mourn this great man./5 https://t.co/JOZs8Gqeh3"
55,ChibuikeAmaechi,2020-05-23 18:19:55+00:00,"As a Justice of the supreme court, he was very upright, fearless and upheld the rule of law. He was a colossus and great teacher. I will miss him deeply. Rivers State and Nigeria just lost a good man, a great man./4 https://t.co/aXk9OUe167"
56,ChibuikeAmaechi,2020-05-23 18:19:51+00:00,He was also a key member of the State’s Economic Advisory Council when I was governor and my administration and Rivers State benefited richly from his wealth of experience and expertise./3 https://t.co/K2zq2yEVaa
57,ChibuikeAmaechi,2020-05-23 18:19:47+00:00,"When I was Governor of Rivers State, I appointed him as Pro Chancellor of RSUST; and expectedly, he brought his astute disposition and intellect to bear, which brought about a remarkable turnaround in the quality of education and handling of affairs in the institution./2 https://t.co/mgiVvEyom7"
58,ChibuikeAmaechi,2020-05-23 18:19:43+00:00,"I woke up this morning to the very sad &amp; painful news of the demise of retired Supreme Court judge, Justice Adolphus Karibi-Whyte. Justice Karibi-Whyte for me was a father figure. He was an exemplary personality, a great advisor and I have the utmost respect for him./1 https://t.co/51OLJhm8IV"
59,ChibuikeAmaechi,2020-05-18 14:14:51+00:00,"#Office #Workmode

And we'll be back in the field soon, by God's grace.

#StaySafe #StayHealthy https://t.co/RH4geUVc9b"
60,ChibuikeAmaechi,2020-04-24 16:42:11+00:00,"Join me in a live chat with @DeleMomodu on Instagram today, 7pm. IG handle: @officialchibuikeamaechi https://t.co/HH1ecgXrzH"
61,ChibuikeAmaechi,2020-04-18 19:08:01+00:00,"My wife and I join Nigerians, members of cabinet and staff of the presidency to mourn late Abba Kyari and pray for the repose of his soul. I also pray that his wife, Mrs. Kulu Abba Kyari, his family and loved ones find strength in this very trying time to bear this heavy loss."
62,ChibuikeAmaechi,2020-04-12 08:35:44+00:00,"These are trying times, but we have to stand together &amp; trust in God. As we celebrate Christ's resurrection, let us be inspired by his sacrifices &amp; continue making our own sacrifices to keep everyone safe. Together, we'll beat this deadly Coronavirus.

Stay Safe

Happy Easter!"
63,ChibuikeAmaechi,2020-02-17 08:36:26+00:00,"Madam, I was not attacked, I did not see or escaped attackers, bandits or kidnappers. I did not “fled like a...” Insults &amp; abuses will not change the fact that I was not attacked or escaped attack, in Kaduna last night. BTW, we can still be respectful &amp; courteous here. Goodmornin https://t.co/ylhj4AqIQO"
64,ChibuikeAmaechi,2020-02-16 21:55:44+00:00,Fake News. This 👎🏿 is completely concocted https://t.co/872OKrcMi5
65,ChibuikeAmaechi,2020-02-15 17:45:57+00:00,Conferred with the title of 'Dike di Oha Mma 1' of Uturu. 3/3 https://t.co/64DOZBIlA4
66,ChibuikeAmaechi,2020-02-15 17:44:43+00:00,"Impressed with the profile and plans of Gregory University for the Transportation and logistics sector in Nigeria, We'll explore ways to partner with them in the Ministry of Transportation, especially when we start the Bonny-Port Harcourt-Maiduguri rail line.2/3 https://t.co/u83bwj4uMh"
67,ChibuikeAmaechi,2020-02-15 17:42:38+00:00,"All in a day! Foundation laying ceremony of the Transport and Logistics Institute at the Gregory University, Uturu in Abia State today. 

Also honoured to present the commencement speech at this year's matriculation. 1/3 https://t.co/qvlJtxJzRv"
68,ChibuikeAmaechi,2020-02-04 16:40:02+00:00,"Today, we started giving interest free loans to Rivers women &amp; youths.Out of the 5000 persons that would be empowered, 3000 would be women. Women are good managers &amp; are pivotal in the family. We are grateful to @NGRPresident for this initiative, my colleague @fkeyamo and the NDE https://t.co/39VMBGTk9U"
69,ChibuikeAmaechi,2020-02-03 06:12:47+00:00,"In a few minutes, I will be live on Channels Television @sunrisedailynow talking about what the President Muhammadu Buhari administration is doing in the Transportation sector."
70,ChibuikeAmaechi,2020-01-28 12:49:25+00:00,"The @NGRPresident has also approved the construction of two new seaports. One in Bonny, Rivers state, the other in Warri, Delta State. At the Lekki deep seaport, construction work is ongoing. 

#BuildingInfrastructure"
71,ChibuikeAmaechi,2020-01-28 12:08:17+00:00,"We are discussing Port Harcourt to Maiduguri rail line. We will construct it. We will start the total reconstruction of that rail corridor. The NGRPresident has assured me of this and announcement on the project will be made soon. 

We even added an Industrial park to the design! https://t.co/Yi7WZtnmH3"
72,ChibuikeAmaechi,2020-01-24 09:19:33+00:00,"They've told us that the rail line up to Apapa would be completed by April, June for the minor stations and August for the major stations. We however hope that they'll speed up the work and finish earlier, so we can move on to Ibadan-Kano rail line. https://t.co/I5caxZGrlQ"
73,ChibuikeAmaechi,2020-01-24 09:19:02+00:00,"Today, we are inspecting the Lagos-Ibadan rail line again, with emphasis on the Apapa Port axis.This time with the Chairman of CCECC Group, Zhao Dianlong &amp; the MD, CCECC Nigeria, Jiang Yi Gao. I told them I am unhappy with the pace of work &amp; it’s imperative they meet set targets https://t.co/tNfZTmPiPY"
74,ChibuikeAmaechi,2020-01-21 11:17:44+00:00,"Minister of the Decade! 

#Thisday2020awards

Thank you to everyone at Thisday Newspapers for this award. I'm grateful to Nigerians for the opportunity to serve, the President for finding me worthy and his commitment to infrastrural development in Nigeria. https://t.co/wETIDh85O2"
75,ChibuikeAmaechi,2020-01-21 08:25:21+00:00,The Itakpe-Warri rail line project is now complete and ready for commissioning. The @NGRPresident @MBuhari will do the honours.
76,ChibuikeAmaechi,2020-01-20 12:15:18+00:00,"Looking at the state of work in Apapa, completing the project in April doesn't seem feasible, especially the extension of the rail line to the seaport. We'll however, continue to work and redouble our efforts to complete the project and meet set targets. #LagosIbadanRail https://t.co/lp41Fy80X2"
77,ChibuikeAmaechi,2020-01-20 10:27:46+00:00,@seyiamakinde
78,ChibuikeAmaechi,2020-01-20 09:13:32+00:00,"Today, Oyo State Governor, @seyimakinde is accompanying us on the monthly inspection of work on the Lagos-Ibadan rail line. We are going the whole nine yards. From the mega station in Ebute Metta to Apapa and all the way to Ibadan. A large chunk of this rail line is in Oyo State. https://t.co/TKpiO52Lak"
79,ChibuikeAmaechi,2020-01-10 20:31:52+00:00,"We are aware of the issues &amp; have heard all your complains about ticketing on the Abuja-Kaduna rail line. We are already working on automation and online ticketing. Please be patient with us as we try to fix this, ASAP."
80,ChibuikeAmaechi,2019-12-25 11:34:44+00:00,"As we mark the birth of Christ, let us also reflect on its significance, the joy he brings to our lives &amp; the need for repentance, forgiveness, brotherliness, peace &amp; harmony in our nation. Wishing you ❤, bliss &amp; the very best of the season. Happy holidays.

Merry Christmas! https://t.co/5aV478z8Nx"
81,ChibuikeAmaechi,2019-12-24 07:45:39+00:00,"To my amazing &amp; lovely wife: On this special day of your birth, I pray that the joy of the Lord increase in you. You have been a light to our kids &amp; I, illuminating our home with love, care &amp; the fear of God. May your life be filled with happiness forever. Happy Birthday my love! https://t.co/jXNkMQ7VP2"
82,ChibuikeAmaechi,2019-12-20 22:25:05+00:00,Laying of tracks up to Ibadan station is now complete. Our focus will now be on completing the tracks from the Agege end to Apapa Seaport and completing all the major and minor stations along the Lagos-Ibadan standard guage rail line. https://t.co/qMPDNdKOjo
83,ChibuikeAmaechi,2019-12-20 15:42:53+00:00,The ongoing work at the Kajola Station has improved greatly and I've asked the Contractors to source some materials locally to encourage manufacturing &amp; jobs for Nigerians while maintaining high quality; and to replicate same speed at the other stations on the Lagos-Ibadan route. https://t.co/BRGJaseEeI
84,ChibuikeAmaechi,2019-12-20 12:09:23+00:00,"On our monthly inspection of the Lagos-Ibadan rail line today, I noticed that work has slowed down along the Iju-Agege axis, and I've directed that the contractors put in more work and get the track to Ikeja ASAP. https://t.co/t51MP87fGv"
85,ChibuikeAmaechi,2019-12-06 15:20:12+00:00,"Some minutes ago, I was attacked by a few misguided Nigerians while on national assignment at a climate change event in Madrid, Spain. They were quickly repelled by the Spanish police before they could do any harm. I am fine. I was not hurt. Thanks for your support &amp; prayers."
